document_id,page,table_index,row_index,column_index,content
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,PD no. Nº de SV
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,Seq. no. Nº de séq.
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,PD no. Nº de SV
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,Seq. no. Nº de séq.
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,PD no. Nº de SV
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,Seq. no. Nº de séq.
5f4f5a34-98bc-4912-a97d-727fb18c4931,,1,,,
